Timestamp	Places_from_VLOC	Labels_in_tile	Image	Tileset	Key A	Key B	Key C	Key D
2020-04-15 16:16:33				0X58080050	0X14	0X7ECE0000	0X19340004	0X2005800
2020-04-15 16:16:33				0X58080050	0X14	0X7F0E0000	0X19340004	0X2005800
2020-04-15 16:16:33		55, Bennet Knoll Pkwy, Big Laurel Ct, Bonhurst Dr, Bracken Trail Cir, Bright Shade Ct, Chambord Way, Crabwall Ct, Echo Hills Ct, Gb Alford Hwy, Goose Rock Ct, Grand Hill Pl, Gremar Dr, Hallwood Ct, Knobview Ct, Laurel Bay Ln, Linden Ridge Dr, Little Leaf Ct, Marleton Way, Merrimont Way, Moss Rock Ct, Muses Mill Ct, New Hill Rd, Oakhall Dr, Pensby Ct, Ramshorn Ct, Sawleaf Ct, Silverstone Way, Spooner Ct, Spruce Ridge Ct, Starkland Way, Stonehedge Ct, Sudano Ct, Sweetwood Trace Ct, Townsgate Ct, Vinewood Pl, Volta Pl, W Holly Springs Rd, White Cedar Run		-0X2BF7FFB0	0X14	-0X2310000	0X32690008	0X200D400
2020-04-15 16:16:33		Bennet Knoll Pkwy, Grand Hill Pl, Holly Springs New Hill Rd, Irving Pkwy, Moore Hill Way, New Hill Rd, Old Holly Springs Apex Rd, Tisbury Dr		-0X2BF7FFB0	0X14	-0X2710000	0X32690008	0X200D400
2020-04-15 16:16:33		Holly Springs Food Cupboard		0X34080050	0X14	-0X2310000	0X326A0008	0X2003400
2020-04-15 16:16:33		55, Ash Ct, Beverstone Dr, Bottle Neck Trail, Burt St, Chilmark Ridge Dr, Clay Ridge Way, Cliffdale Rd, Crabwall Ct, Cross Hill Ln, Douglas St, Dutch Hill Rd, Earnie Dr, Earp St, Gb Alford Hwy, Green Oaks Pkwy, Hartshorn Ct, Hollyberry Ln, Newspaper Way, Onondaga Ct, Otisco Trail, Park Pointe Way, Porcino Ln, Saranac Ridge Dr, Stagsden Ct, Stonehedge Ct, Sturminster Dr, Tamaqua Ln, Tetteridge Ct, Third St, Thornton Green Pl, Tiverton Woods Dr, Treatment Plant Rd, Tullich Way, Tuska Hills Dr, W Ballentine St, W Elm Ave, W Holly Springs Rd, Walehurst Ridge Dr		0X50080050	0X14	-0X2310000	0X326A0008	0X2005000
2020-04-15 16:16:33		Carolina Family Practice & Sports Medicine - Holly Springs, De La Finca Coffee Importers, Duke Health Holly Springs, Fastenal		0X34080050	0X14	-0X2710000	0X326A0008	0X2003400
2020-04-15 16:16:33		Green Oaks Pkwy, Irving Pkwy, Newspaper Way, Premier Dr, Thomas Mill Rd, Tradition Trail		0X50080050	0X14	-0X2710000	0X326A0008	0X2005000
2020-04-15 16:16:35				0X58080050	0X14	-0X2710000	0X326A0008	0X2005800
2020-04-15 16:16:35				0X58080050	0X14	-0X2310000	0X326A0008	0X2005800
2020-04-15 16:16:36		55, Alford St, Avent Ferry Rd, Bateau Rd, Blalock St, Brooks St, Cabrita Ct, Cayman Ave, Center St, Collins St, E Ballentine St, E Earp St, Earp St, Grigsby Ave, Holiday Ct, Holly Acres Rd, Holly Pines Ct, Holly Springs Rd, Indian Hill Rd, Johnson St, Lee St, N Main St, Raleigh St, Red Feather Ct, Rogers St, Round About Rd, S Main St, School Days Ln, St John Ct, Steeple Rd, Third St, Thornwall Ct, Trinidad Ct, Vista Springs Cir, W Ballentine St, W Center St, W Earp St, W Holly Springs Rd, Wolfbridge Rd		0X50080050	0X14	-0X1F10000	0X326A0008	0X2005000
2020-04-15 16:16:36				0X58080050	0X14	-0X1F10000	0X326A0008	0X2005800
2020-04-15 16:16:42		Ainsdale Pl, Eagle Springs Ct, Evans Crest Ln, Green Oaks Pkwy, Hardy Oaks Way, Hensley Grove Ct, Hensley Hill Pl, Hensley Oak Way, Holly Springs New Hill Rd, Honeyridge Ln, Hundred Oaks Ln, Jumping Creek Ct, Lucky Ribbon Ln, Market Cross Ct, Moore Hill Way, Morning Oaks Dr, Ribbon Walk Ln, Secondary Road 1152, Secret Grove Ln, Tree Hill Ln, White Hill Dr		0X50080050	0X14	-0X2B10000	0X32690008	0X2005000
2020-04-15 16:16:42				0X58080050	0X14	-0X2B10000	0X32690008	0X2005800
2020-04-15 16:16:42		55, Anchor Creek Way, Apple Drupe Way, Arbor Creek Dr, Arbor Crest Rd, Arbor Forest Dr, Arbor Glen Ct, Arbor Light Rd, Arbor Tree Ct, Arbor Wynds Ct, Arctic Ridge Way, Bikram Dr, Bottlebrush Ct, Capello Ct, Cobalt Creek Way, Commons Dr, Creek Haven Dr, Easton St, Gooseberry Dr, Holmby Ct, Katha Dr, Leafgate Ct, Mallow Ct, Malmedy Dr, McClain St, Milpass Dr, Morena Rd, N Main St, Orvis Dr, Richardson St, Saltybrook Ln, Sanchez Ct, Sportsmanship Way, Steedmont Dr, Tennis Ct, Trayesan Dr, Trellis Pointe Dr, Vine St, Wellspring Dr		0X50080050	0X14	-0X1F10000	0X32680008	0X2005000
2020-04-15 16:16:42		55, Abbott Ridge Ct, Amacord Way, Apple Drupe Way, Bahama Ct, Barbados Ct, Bikram Dr, Bonhurst Dr, Cayman Ave, Chrismill Ln, Clardona Way, Crossway Ln, Folsom Dr, Guadeloupe Ct, Mendells Dr, Milpass Dr, N Main St, Nevis Dr, Oakhall Dr, Olvera Way, Palmdale Ct, Quantum Dr, Sanchez Ct, Sandy Point Way, School Days Ln, St Croix Dr, St Kitts Ct, St Lucia Ct, St Vincent Dr, Steedmont Dr, Sunny Chloe Ct, Trayesan Dr		0X50080050	0X14	-0X1F10000	0X32690008	0X2005000
2020-04-15 16:16:42		Beaconwood Ln, Begonia Trail, Cypress Hill Ln, Forest Haven Dr, Ladys Mantle Ln, Maritime Pine Ln, Old Holly Springs Apex Rd, Sweet Violet Dr, Vinewood Pl, Woodlark Ln		-0X2BF7FFB0	0X14	-0X2710000	0X32680008	0X200D400
2020-04-15 16:16:42		55, Bennet Knoll Pkwy, Easton St, Gb Alford Hwy, Grand Hill Pl, Ladys Mantle Ln, Muses Mill Ct, Sportsmanship Way, Sweet Violet Dr, Tennis Ct, Vinewood Pl		-0X2BF7FFB0	0X14	-0X2310000	0X32680008	0X200D400
2020-04-15 16:17:21				0X58080050	0X14	-0X1F10000	0X32680008	0X2005800
2020-04-15 16:17:21				0X58080050	0X14	-0X1F10000	0X32690008	0X2005800
2020-04-15 16:17:21		ACME Pizza, CVS Pharmacy, China Uno, Harris Teeter, Harris Teeter Pharmacy, License Plate Agency, Wake County ABC		0X34080050	0X14	-0X2310000	0X326B0008	0X2003400
2020-04-15 16:17:21		55, Avent Ferry Rd, Chilmark Ridge Dr, Cotten Ln, Cottonwood Ln, Country Ln, Desert Orchid Rd, Gb Alford Hwy, Logging Rd, Marmalade Ct, Martingale Dr, Middle Park Dr, Morgan Ridge Rd, Paddock View Dr, Stable Ridge Dr, Thornton Green Pl, Treatment Plant Rd, Triple Crown Trail, Trotter Bluffs Dr, Utley Bluffs Dr, Village Walk Dr, W Elm Ave, Westcott Ct		0X50080050	0X14	-0X2310000	0X326B0008	0X2005000
2020-04-15 16:17:21				0X58080050	0X14	-0X2310000	0X326B0008	0X2005800
2020-04-15 16:17:53		Green Oaks Pkwy, Thomas Mill Rd		0X50080050	0X14	-0X2B10000	0X326A0008	0X2005000
2020-04-15 16:17:53				0X58080050	0X14	-0X2B10000	0X326A0008	0X2005800
2020-04-15 16:18:23		Cypress Hill Ln, Hardy Oaks Way, Honeyridge Ln, Ivy Arbor Way, Morning Oaks Dr, Old Holly Springs Apex Rd, Roseroot Ct		0X50080050	0X14	-0X2B10000	0X32680008	0X2005000
2020-04-15 16:18:23				0X58080050	0X14	-0X2B10000	0X32680008	0X2005800
2020-04-15 16:18:23		Green Oaks Pkwy, Irving Pkwy, Newspaper Way, Premier Dr, Thomas Mill Rd, Tradition Trail		-0X2BF7FFB0	0X14	-0X2710000	0X326A0008	0X200D400
2020-04-15 16:18:23		55, Ash Ct, Beverstone Dr, Bottle Neck Trail, Burt St, Chilmark Ridge Dr, Clay Ridge Way, Cliffdale Rd, Crabwall Ct, Cross Hill Ln, Douglas St, Dutch Hill Rd, Earnie Dr, Earp St, Gb Alford Hwy, Green Oaks Pkwy, Hartshorn Ct, Hollyberry Ln, Newspaper Way, Onondaga Ct, Otisco Trail, Park Pointe Way, Porcino Ln, Saranac Ridge Dr, Stagsden Ct, Stonehedge Ct, Sturminster Dr, Tamaqua Ln, Tetteridge Ct, Third St, Thornton Green Pl, Tiverton Woods Dr, Treatment Plant Rd, Tullich Way, Tuska Hills Dr, W Ballentine St, W Elm Ave, W Holly Springs Rd, Walehurst Ridge Dr		-0X2BF7FFB0	0X14	-0X2310000	0X326A0008	0X200D400
