Start Date	Start Timezone	End Date	End Timezone	All Day?	Summary	Calendar ID	Last Modified
2019-08-10 00:00:00	_float	2019-08-10 23:59:59	_float	1	Eid al-Adha	14	2019-05-31 22:46:33
2019-09-09 00:00:00	_float	2019-09-09 23:59:59	_float	1	Ashura	14	2019-05-31 22:46:33
2019-09-30 00:00:00	_float	2019-09-30 23:59:59	_float	1	Rosh Hashanah	14	2019-05-31 22:46:33
2019-10-09 00:00:00	_float	2019-10-09 23:59:59	_float	1	Yom Kippur	14	2019-05-31 22:46:33
2019-10-27 00:00:00	_float	2019-10-27 23:59:59	_float	1	Diwali	14	2019-05-31 22:46:33
2019-11-28 00:00:00	_float	2019-11-28 23:59:59	_float	1	Thanksgiving	14	2019-05-31 22:46:33
2019-12-23 00:00:00	_float	2019-12-23 23:59:59	_float	1	Hanukkah	14	2019-05-31 22:46:33
2020-01-25 00:00:00	_float	2020-01-25 23:59:59	_float	1	Lunar New Year	14	2019-05-31 22:46:33
2020-03-10 00:00:00	_float	2020-03-10 23:59:59	_float	1	Holi	14	2019-05-31 22:46:33
2020-04-05 00:00:00	_float	2020-04-05 23:59:59	_float	1	Palm Sunday	14	2019-05-31 22:46:33
2020-04-08 00:00:00	_float	2020-04-08 23:59:59	_float	1	Passover	14	2019-05-31 22:46:33
2020-04-10 00:00:00	_float	2020-04-10 23:59:59	_float	1	Good Friday	14	2019-05-31 22:46:33
2020-04-12 00:00:00	_float	2020-04-12 23:59:59	_float	1	Easter	14	2019-05-31 22:46:33
2020-04-12 14:00:00	America/New_York	2020-04-12 15:00:00	America/New_York	0	Pick up lunch	13	2020-04-12 13:35:16
2020-04-15 00:00:00	_float	2020-04-15 23:59:59	_float	1	Tax Day	14	2019-05-31 22:46:33
2020-04-19 00:00:00	_float	2020-04-19 23:59:59	_float	1	Orthodox Easter	14	2019-05-31 22:46:33
2020-04-24 00:00:00	_float	2020-04-24 23:59:59	_float	1	Beginning of Ramadan	14	2019-05-31 22:46:33
2020-05-23 00:00:00	_float	2020-05-23 23:59:59	_float	1	Eid al-Fitr	14	2019-05-31 22:46:33
2020-07-03 00:00:00	_float	2020-07-03 23:59:59	_float	1	Independence Day (observed)	14	2019-05-31 22:46:33
2020-07-31 00:00:00	_float	2020-07-31 23:59:59	_float	1	Eid al-Adha	14	2019-05-31 22:46:33
2020-08-29 00:00:00	_float	2020-08-29 23:59:59	_float	1	Ashura	14	2019-05-31 22:46:33
2020-09-19 00:00:00	_float	2020-09-19 23:59:59	_float	1	Rosh Hashanah	14	2019-05-31 22:46:33
2020-09-27 00:00:00	_float	2020-09-27 23:59:59	_float	1	Yom Kippur	14	2019-05-31 22:46:33
2020-11-03 00:00:00	_float	2020-11-03 23:59:59	_float	1	Election Day	14	2019-05-31 22:46:33
2020-11-14 00:00:00	_float	2020-11-14 23:59:59	_float	1	Diwali	14	2019-05-31 22:46:33
2020-11-26 00:00:00	_float	2020-11-26 23:59:59	_float	1	Thanksgiving	14	2019-05-31 22:46:33
2020-12-11 00:00:00	_float	2020-12-11 23:59:59	_float	1	Hanukkah	14	2019-05-31 22:46:33
2021-01-20 00:00:00	_float	2021-01-20 23:59:59	_float	1	Inauguration Day	14	2019-05-31 22:46:33
2021-02-12 00:00:00	_float	2021-02-12 23:59:59	_float	1	Lunar New Year	14	2019-05-31 22:46:33
2021-03-27 00:00:00	_float	2021-03-27 23:59:59	_float	1	Passover	14	2019-05-31 22:46:33
2021-03-28 00:00:00	_float	2021-03-28 23:59:59	_float	1	Palm Sunday	14	2019-05-31 22:46:33
2021-03-29 00:00:00	_float	2021-03-29 23:59:59	_float	1	Holi	14	2019-05-31 22:46:33
2021-04-02 00:00:00	_float	2021-04-02 23:59:59	_float	1	Good Friday	14	2019-05-31 22:46:33
2021-04-04 00:00:00	_float	2021-04-04 23:59:59	_float	1	Easter	14	2019-05-31 22:46:33
2021-04-13 00:00:00	_float	2021-04-13 23:59:59	_float	1	Beginning of Ramadan	14	2019-05-31 22:46:33
2021-04-15 00:00:00	_float	2021-04-15 23:59:59	_float	1	Tax Day	14	2019-05-31 22:46:33
2021-05-02 00:00:00	_float	2021-05-02 23:59:59	_float	1	Orthodox Easter	14	2019-05-31 22:46:33
2021-05-12 00:00:00	_float	2021-05-12 23:59:59	_float	1	Eid al-Fitr	14	2019-05-31 22:46:33
2021-07-05 00:00:00	_float	2021-07-05 23:59:59	_float	1	Independence Day (observed)	14	2019-05-31 22:46:33
2021-07-20 00:00:00	_float	2021-07-20 23:59:59	_float	1	Eid al-Adha	14	2019-05-31 22:46:33
2021-08-19 00:00:00	_float	2021-08-19 23:59:59	_float	1	Ashura	14	2019-05-31 22:46:33
2021-09-07 00:00:00	_float	2021-09-07 23:59:59	_float	1	Rosh Hashanah	14	2019-05-31 22:46:33
2021-09-15 00:00:00	_float	2021-09-15 23:59:59	_float	1	Yom Kippur	14	2019-05-31 22:46:33
2021-11-04 00:00:00	_float	2021-11-04 23:59:59	_float	1	Diwali	14	2019-05-31 22:46:33
2021-11-25 00:00:00	_float	2021-11-25 23:59:59	_float	1	Thanksgiving	14	2019-05-31 22:46:33
2021-11-29 00:00:00	_float	2021-11-29 23:59:59	_float	1	Hanukkah	14	2019-05-31 22:46:33
2022-02-01 00:00:00	_float	2022-02-01 23:59:59	_float	1	Lunar New Year	14	2019-05-31 22:46:33
2022-03-18 00:00:00	_float	2022-03-18 23:59:59	_float	1	Holi	14	2019-05-31 22:46:33
2022-04-02 00:00:00	_float	2022-04-02 23:59:59	_float	1	Beginning of Ramadan	14	2019-05-31 22:46:33
2022-04-10 00:00:00	_float	2022-04-10 23:59:59	_float	1	Palm Sunday	14	2019-05-31 22:46:33
2022-04-15 00:00:00	_float	2022-04-15 23:59:59	_float	1	Passover	14	2019-05-31 22:46:33
2022-04-15 00:00:00	_float	2022-04-15 23:59:59	_float	1	Tax Day	14	2019-05-31 22:46:33
2022-04-15 00:00:00	_float	2022-04-15 23:59:59	_float	1	Good Friday	14	2019-05-31 22:46:33
2022-04-17 00:00:00	_float	2022-04-17 23:59:59	_float	1	Easter	14	2019-05-31 22:46:33
2022-04-24 00:00:00	_float	2022-04-24 23:59:59	_float	1	Orthodox Easter	14	2019-05-31 22:46:33
2022-05-01 00:00:00	_float	2022-05-01 23:59:59	_float	1	Eid al-Fitr	14	2019-05-31 22:46:33
2022-07-10 00:00:00	_float	2022-07-10 23:59:59	_float	1	Eid al-Adha	14	2019-05-31 22:46:33
2022-08-08 00:00:00	_float	2022-08-08 23:59:59	_float	1	Ashura	14	2019-05-31 22:46:33
2022-09-26 00:00:00	_float	2022-09-26 23:59:59	_float	1	Rosh Hashanah	14	2019-05-31 22:46:33
2022-10-04 00:00:00	_float	2022-10-04 23:59:59	_float	1	Yom Kippur	14	2019-05-31 22:46:33
2022-10-24 00:00:00	_float	2022-10-24 23:59:59	_float	1	Diwali	14	2019-05-31 22:46:33
2022-11-08 00:00:00	_float	2022-11-08 23:59:59	_float	1	Election Day	14	2019-05-31 22:46:33
2022-11-24 00:00:00	_float	2022-11-24 23:59:59	_float	1	Thanksgiving	14	2019-05-31 22:46:33
2022-12-19 00:00:00	_float	2022-12-19 23:59:59	_float	1	Hanukkah	14	2019-05-31 22:46:33
