
2020-03-21 17:48:12	Documents	2020-03-21 17:48:12
2020-03-21 17:48:12	UbiquitousCards	2020-03-21 17:49:23
2020-03-21 17:48:13	Documents	2020-03-21 17:48:13
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:14	Documents	2020-03-21 17:48:14
2020-03-21 17:48:15	Documents	2020-03-21 17:48:15
2020-03-21 17:48:15	Documents	2020-03-21 17:48:15
2020-03-21 17:48:15	Documents	2020-03-21 17:48:15
2020-03-21 17:50:20	Dictionaries	2020-03-21 17:50:34
2020-03-21 17:50:20	mobile~898F53A0-1714-5175-8C2D-9CD740CC7BA7	2020-03-21 17:50:34
2020-03-21 17:50:20	UserDictionary	2020-03-21 17:50:34
2020-03-21 17:50:20	SAlQVUhF7208e6_gvZx_zdKx1U1AzKGem3HO2pLKjgY=	2020-03-21 17:50:34
2020-03-21 17:50:20	.cdmetadata	2020-03-21 17:50:31
2020-03-21 17:50:20	.baseline	2020-03-21 17:50:33
2020-03-21 17:50:20	UserDictionary	2020-03-21 17:50:33
2020-03-21 17:50:20	SAlQVUhF7208e6_gvZx_zdKx1U1AzKGem3HO2pLKjgY=	2020-03-21 17:50:33
2020-03-21 17:50:20	baseline.zip	2020-03-21 17:50:20
2020-03-21 17:50:20	CDFE40EE-C14F-44DA-8CC0-1F302CBC95C8.1.cdt	2020-03-21 17:50:20
2020-03-21 17:50:21	receipt.0.cdt	2020-03-21 17:50:21
2020-03-21 21:26:32	Documents	2020-03-21 21:26:32
2020-03-21 21:27:41	Documents	2020-03-21 21:27:41
2020-03-21 21:32:32	Documents	2020-03-21 21:32:32
2020-03-21 21:33:45	Documents	2020-03-21 21:33:45
2020-03-21 21:35:32	Documents	2020-03-21 21:35:32
2020-03-21 21:43:39	Documents	2020-03-21 21:43:39
2020-03-21 21:53:58	Documents	2020-03-21 21:53:58
2020-03-21 21:54:44	Documents	2020-03-21 21:54:44
2020-03-21 21:55:50	Documents	2020-03-21 21:55:50
2020-03-21 21:56:50	Documents	2020-03-21 21:56:50
2020-03-27 21:45:15	Downloads	2020-04-16 07:45:49
2020-03-27 21:45:15	iOS Mobile Installation Logs.pdf	2020-03-27 21:45:15
2020-03-27 21:49:09	How was an iPhone set up?.pdf	2020-03-27 21:49:09
2020-04-05 21:11:51	Documents	2020-04-05 21:11:51
2020-04-12 09:21:16	iOS_Bug_Reporting_for_Forensic_Purposes_1.2.pdf	2020-04-12 09:21:16
2020-04-13 21:15:11	Documents	2020-04-13 21:15:11
