Import Date	Metadata Timestamp	Date Last Played	Play State Last Modified	Download Date	Play Count	Author	Title	Subtitle	Asset URL	Web Page URL	Duration	Size	Play State
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 086 - BambiRaptor	This week I review a freely available Windows Live Response collection tool available from BriMor Labs.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-086-bambiraptor	879.0	7207709	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 168 - Is CEH Still Relevant?	I recently passed my certified ethical hacker certification test. This week I thought I would talk about why I chose the certification.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-168-is-ceh-still-relevant	952.0	7781151	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 046 - DFIR New Year	This week I share my thoughts on setting DFIR goals for the coming year. I go over seven points worth focusing on for professional development.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-046-dfir-new-year	1863.0	15256489	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 143 - Tips from the Trenches	Tips from the DFIR Trenches		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-143-tips-from-the-trenches	819.0	6705539	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 040 - Mac Log Files	This week I talk about Mac Log files that are useful for File Use & Knowledge investigations as well as Incident Response.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-040-mac-log-files	1351.0	11075553	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 069 - Automated Memory Triage	This week I take a look at Redline by Mandiant, a tool that offers automated memory triage and much more.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-069-automated-memory-triage	1280.0	10488946	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 050 - Virtual Machine Forensics	This week I talk File Use & Knowledge investigations involving virtual machines. This is mainly from a dead-box exam point-of-view.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-050-virtual-machine-forensics	1316.0	10784004	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 183 - WMI Forensics	This week I talk about using WMI to create processes remotely.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-183-wmi-forensics	1323.0	10802655	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 109 - OLEDump	This week I talk about OLEDump, a malware analysis tool for investigating suspicious macros in MS Office documents		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-109-oledump	1076.0	8796387	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 091 - Red Team Field Manual	This week I talk about RTFM, the companion to the blue team field manual that's filled with over 1000 commands for windows and Linux.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-091-red-team-field-manual	648.0	5323647	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP # 047 - Epoch Time Survival	This week I talk about surviving mobile App timestamps.		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-047-epoch-time-survival	1325.0	10857121	0
2020-03-25 19:18:32			2020-03-25 19:18:32		0		DFSP #003 - Windows Explorer Evidence	Prove File Use and Knowledge		https://digitalforensicsurvivalpodcast.libsyn.com/dfsp-003-windows-explorer-evidence	995.0	8158884	0
